player_id,player_name
10771,George Honeyman
3525,Alex Oxlade-Chamberlain
5689,Juan Guillermo Cuadrado Bello
4700,Matthew Pennington
16027,Kevin Mbabu
3094,Bamidele Alli
3604,Olivier Giroud
24888,Adam Federici
4747,Divock Okoth Origi
3476,Muhamed Bešić
3081,Jamaal Lascelles
3472,Willian Borges da Silva
3684,Cheikhou Kouyaté
3065,Paul Dummett
4093,Jay Fulton
3304,Harry Arter
5556,Miguel Arturo Layún Prado
3076,Ayoze Pérez Gutiérrez
16295,Dame N''Doye
3440,Tammy Bakumo-Abraham
5489,Mile Jedinak
3511,Héctor Bellerín Moruno
3493,Emre Can
13200,Oluwaseyi Babajide Ojo
4892,Sergio Germán Romero
6361,James Wilson
19288,Martín Gastón Demichelis
3629,Sadio Mané
3294,Juan Manuel Mata García
3603,Mame Biram Diouf
4724,Glen Johnson
22237,Mamadou Obbi Oularé
3314,Phil Jones
9914,Danny Ward
3482,James Collins
3263,Craig Cathcart
5264,Guillermo Varela Olivera
3297,Andros Townsend
13448,Bradley Shaun Smith
36983,Juan Carlos Paredes Reasco
3087,Gnégnéri Yaya Touré
3973,Àngel Rangel Zaragoza
10326,João Carlos Vilaça Teixeira
3391,Rolando Aarons
43757,Yoan Gouffran
20201,Maarten Stekelenburg
3480,Geoff Cameron
9566,Bersant Celina
10484,Callum Connolly
3385,Alexis Alejandro Sánchez Sánchez
3991,Allan Romeo Nyom
5617,Sebastian Larsson
7171,Fabio Borini
4022,Darren Fletcher
4590,Nathaniel Edwin Clyne
3089,Kevin De Bruyne
9536,Modou Barrow
3308,Kieran Trippier
7010,Gastón Exequiel Ramírez Pereyra
7121,Sandro Ranieri Guimarães Cordeiro
3590,Rhu-endly Martina
3272,Oriol Romeu Vidal
3538,Wayne Mark Rooney
3347,André Ayew Pelé
4428,Mathieu Debuchy
16932,Youssouf Chafiq Mulumbu Ngangu
8400,Serge Gnabry
3522,Heurelho da Silva Gomes
4891,Ibrahim Afellay
40124,Rickie Lambert
20074,Artur Boruc
8344,Manuel García Alonso
26207,Fabricio Coloccini
10960,Jamie Vardy
18414,Bastian Schweinsteiger
9628,James Grant Chester
3290,Federico Fernández
23635,John Ruddy
10958,Chris Smalling
3532,Jordan Brian Henderson
23742,Vadis Odjidja-Ofoe
4346,Gilbert Gianelli Imbula Wanga
4828,Adlène Guédioura
3310,Tom Carroll
4116,Sullay Kaikai
3328,James Ward-Prowse
38412,Kolo Habib Touré
4053,Ben Foster
16003,Fernando Francisco Reges
129559,Rees Greenwood
4746,Younes Kaboul
3953,Aaron Lennon
7884,Marcin Ryszard Wasilewski
3515,Alberto Moreno Pérez
3049,Matt Ritchie
43081,Almen Abdi
10772,Donald Love
40123,Robert Huth
4276,David Ospina Ramírez
27053,Alexandre Dimitri Song-Billong
3843,Angelo Obinze Ogbonna
3478,Francesc Fàbregas i Soler
3631,Nathan Dyer
24380,Tetchi Jores Charlemagne Ulrich Okore
3254,Florian Thauvin
20951,Jordan Lyden
3967,Claudio Ariel Yacob
50245,Marouane Chamakh
7848,Matt Miazga
3598,Wilfried Guemiand Bony
31904,Giedrius Arlauskis
25351,Alexandre Rodrigues da Silva
3520,Jeffrey Schlupp
6746,Gabriel Armando de Abreu
3509,Thibaut Courtois
3306,Nathan Aké
